CustomerID,CustomerName,Email,Phone,City
CUST02067,Vikas Singh,vikas.singh277@gmail.com,9365423086,Kanpur
CUST02923,Charlie Malhotra,charlie.malhotra124@yahoo.com,9978346184,Kanpur
CUST01100,Zara Mehta,zara.mehta744@gmail.com,9749147872,Nagpur
CUST01859,Kiran Rao,kiran.rao540@gmail.com,9767285726,Lucknow
CUST00240,Vijay Das,vijay.das225@gmail.com,,Pune
CUST02499,Amit Gupta,amit.gupta532@yahoo.com,9484651253,Ahmedabad
CUST00944,Rahul Bose,rahul.bose526@yahoo.com,9950865277,Surat
CUST00873,Manish Iyer,manish.iyer121@yahoo.com,9674167460,Jaipur
CUST01909,Meera Bose,meera.bose187@gmail.com,9356055042,Chennai
CUST04015,Sneha Das,sneha.das900@yahoo.com,9248721319,Indore
CUST04843,Sandeep Rao,sandeep.rao7@gmail.com,8695719150,Kanpur
CUST01327,Priya Kapoor,priya.kapoor945@gmail.com,9362931896,Nagpur
CUST00555,Rahul Singh,rahul.singh314@gmail.com,9823092611,Bangalore
CUST01721,Sneha Pillai,sneha.pillai192@gmail.com,9149237092,Indore
CUST04362,Manish Rao,manish.rao625@gmail.com,9852385328,Pune
CUST00144,Diana Mehta,diana.mehta425@yahoo.com,9243867783,Surat
CUST02156,Ishaan Singh,ishaan.singh812@gmail.com,8965825748,Bangalore
CUST02002,Charlie Verma,charlie.verma781@gmail.com,9170275619,Jaipur
CUST01169,Meera Singh,meera.singh86@yahoo.com,8238841126,Kolkata
CUST00516,Alice Malhotra,alice.malhotra121@gmail.com,9395496260,Chennai
CUST01158,Ivy Kumar,ivy.kumar113@gmail.com,,Delhi
CUST01178,Aditi Sharma,aditi.sharma466@yahoo.com,9763573974,Mumbai
CUST03558,Vijay Sharma,vijay.sharma607@yahoo.com,9348431687,Lucknow
CUST01613,Grace Verma,grace.verma505@gmail.com,9490430480,Bangalore
CUST03405,Rajan Gupta,rajan.gupta99@gmail.com,9528802172,Ahmedabad
CUST01546,Kavya Hegde,kavya.hegde748@gmail.com,9368525980,Pune
CUST03866,Manish Rao,manish.rao169@yahoo.com,9516704910,Indore
CUST02229,Neha Malhotra,neha.malhotra734@yahoo.com,9150152930,Bangalore
CUST03545,Harsha Verma,harsha.verma116@gmail.com,9446732587,Kolkata
CUST01323,Usha Das,usha.das987@gmail.com,8946069674,Kanpur
CUST02630,Ishaan Menon,ishaan.menon49@gmail.com,9669275249,Chennai
CUST03189,Pooja Shah,pooja.shah308@gmail.com,9835903523,Kolkata
CUST01840,Usha Rao,usha.rao865@gmail.com,9428367437,Mumbai
CUST01923,Charlie Singh,charlie.singh407@gmail.com,9694621513,Kanpur
CUST01635,Ivy Reddy,ivy.reddy49@yahoo.com,9941931031,Nagpur
CUST04413,Bob Mehta,bob.mehta86@yahoo.com,9562388514,Indore
CUST00185,Arjun Singh,arjun.singh414@gmail.com,,Delhi
CUST00397,Sneha Das,sneha.das621@gmail.com,9728726702,Jaipur
CUST02507,Vijay Verma,vijay.verma309@yahoo.com,9200322519,Ahmedabad
CUST04154,Amit Bose,amit.bose148@gmail.com,9315101414,Delhi
CUST02129,Tanvi Bose,tanvi.bose181@yahoo.com,9401041257,Hyderabad
CUST01474,Neha Bose,neha.bose981@gmail.com,9853893004,Kolkata
CUST00076,Rohit Verma,rohit.verma765@gmail.com,9457986552,
CUST00875,Rohit Nair,rohit.nair324@gmail.com,9351856214,Kanpur
CUST03772,Vikas Menon,vikas.menon723@gmail.com,9878060582,Delhi
CUST03780,Ivy Kumar,ivy.kumar329@gmail.com,9553954991,Surat
CUST04473,Anjali Kapoor,anjali.kapoor732@gmail.com,8160191121,Kolkata
CUST01596,Ishaan Sharma,ishaan.sharma515@gmail.com,9496120458,Jaipur
CUST00409,Deepa Hegde,deepa.hegde337@gmail.com,9152319623,Pune
CUST01885,Frank Nair,frank.nair379@gmail.com,9828400194,Kanpur
CUST01693,Aarav Malhotra,aarav.malhotra762@gmail.com,9497693013,Surat
CUST04183,Usha Iyer,usha.iyer919@gmail.com,9470619025,Lucknow
CUST03392,Suresh Verma,suresh.verma721@gmail.com,9541865090,Jaipur
CUST03693,Vijay Sharma,vijay.sharma11@gmail.com,9735217072,
CUST04233,Harsha Das,harsha.das311@gmail.com,9186756142,Lucknow
CUST04880,Kiran Reddy,kiran.reddy909@gmail.com,9106344312,Kanpur
CUST00889,Neha Malhotra,neha.malhotra592@gmail.com,9221422500,Ahmedabad
CUST00531,Sandeep Pillai,sandeep.pillai235@gmail.com,9369600330,Ahmedabad
CUST00688,Rohit Mehta,rohit.mehta391@gmail.com,9758436440,Surat
CUST02898,Bob Patel,bob.patel194@gmail.com,9760296219,Kanpur
CUST04560,Kiran Bose,kiran.bose842@gmail.com,9766734620,Jaipur
CUST00082,Amit Menon,amit.menon775@gmail.com,,Bangalore
CUST04719,Bob Joshi,bob.joshi885@gmail.com,9292852067,Pune
CUST00670,Rajan Shah,rajan.shah978@gmail.com,9750435540,Ahmedabad
CUST04749,Charlie Hegde,charlie.hegde899@gmail.com,9622989441,Jaipur
CUST02540,Jack Sharma,jack.sharma304@gmail.com,9456511728,Nagpur
CUST01631,Frank Malhotra,frank.malhotra598@gmail.com,9350461390,Kanpur
CUST02541,Ivy Das,ivy.das835@gmail.com,9925584343,Chennai
CUST01863,Manish Gupta,manish.gupta712@gmail.com,9322773823,Lucknow
CUST00459,Eve Sharma,eve.sharma798@yahoo.com,9952987176,Chennai
CUST03339,Frank Menon,frank.menon464@gmail.com,9987456510,Bangalore
CUST02134,Aditi Bose,aditi.bose821@yahoo.com,9210532418,Nagpur
CUST00158,Eve Patel,eve.patel6@gmail.com,9205396044,Kolkata
CUST01191,Grace Patel,grace.patel95@gmail.com,9144598671,Mumbai
CUST01382,Aditi Bose,aditi.bose937@yahoo.com,9439706505,Nagpur
CUST04593,Meera Verma,meera.verma680@gmail.com,9995952025,Hyderabad
CUST03941,Sneha Bose,sneha.bose196@yahoo.com,9760001750,Surat
CUST02084,Rahul Malhotra,rahul.malhotra192@yahoo.com,9604342028,Kolkata
CUST02855,Deepa Singh,deepa.singh398@gmail.com,9283637528,Kanpur
CUST01130,Manish Nair,manish.nair629@gmail.com,9958737734,Kanpur
CUST00845,Suresh Kapoor,suresh.kapoor119@gmail.com,9335743399,Ahmedabad
CUST04375,Sanjay Kumar,sanjay.kumar828@gmail.com,9195543547,Bangalore
CUST02832,Harsha Pillai,harsha.pillai375@yahoo.com,9700454669,Jaipur
CUST01013,Pooja Menon,pooja.menon586@gmail.com,9451834969,Delhi
CUST04724,Anjali Singh,anjali.singh487@gmail.com,9921904780,Indore
CUST03617,Usha Shah,usha.shah828@gmail.com,9647768959,Kolkata
CUST01537,Tanvi Bose,tanvi.bose299@gmail.com,9105862556,Kanpur
CUST02770,Zara Shah,zara.shah184@gmail.com,8349374341,Hyderabad
CUST00476,Eve Kapoor,eve.kapoor720@gmail.com,9519198606,Ahmedabad
CUST02596,Harsha Rao,harsha.rao610@yahoo.com,9700422491,Lucknow
CUST01770,Grace Menon,grace.menon560@gmail.com,9538197186,Hyderabad
CUST01767,Vijay Singh,vijay.singh189@gmail.com,9224854217,Jaipur
CUST04498,Ivy Malhotra,,9547235023,Nagpur
CUST02491,Manish Pillai,manish.pillai721@gmail.com,9598484885,Hyderabad
CUST00736,Aarav Das,aarav.das426@gmail.com,8224815116,Kanpur
CUST04415,Manish Nair,manish.nair823@gmail.com,8501839065,Kanpur
CUST00423,Suresh Das,suresh.das544@gmail.com,9805129192,Lucknow
CUST00370,Grace Verma,grace.verma944@gmail.com,9528984960,Indore
CUST02717,Kiran Bose,kiran.bose744@gmail.com,9530501470,Nagpur
CUST03503,Diana Patel,diana.patel183@yahoo.com,9361127622,Pune
CUST04215,Bob Das,bob.das696@yahoo.com,9842612787,Delhi
CUST00276,Kiran Kumar,kiran.kumar594@yahoo.com,9746207922,Hyderabad
CUST00377,Rajan Singh,,9151179781,Nagpur
CUST02117,Divya Kumar,divya.kumar278@gmail.com,9149322188,Pune
CUST00672,Suresh Kapoor,suresh.kapoor477@gmail.com,8653325843,Pune
CUST02803,Alice Reddy,alice.reddy890@yahoo.com,9656258045,Bangalore
CUST03810,Zara Kapoor,zara.kapoor688@yahoo.com,8714159335,Kanpur
CUST00881,Alice Rao,alice.rao658@gmail.com,9945291253,Jaipur
CUST03959,Rahul Das,rahul.das543@yahoo.com,9308543247,Jaipur
CUST02361,Hank Hegde,,9997367441,Pune
CUST01665,Zara Sharma,zara.sharma54@gmail.com,9837122559,Pune
CUST00084,Usha Hegde,usha.hegde808@gmail.com,9886986676,Chennai
CUST02875,Eve Singh,eve.singh796@gmail.com,9682351092,Surat
CUST04951,Alice Shah,alice.shah302@gmail.com,8852309629,Indore
CUST04885,Tanvi Joshi,tanvi.joshi589@gmail.com,9642432443,Surat
CUST01200,Usha Kapoor,usha.kapoor752@gmail.com,9950967850,Kolkata
CUST01053,Ivy Malhotra,ivy.malhotra754@yahoo.com,8513468572,Ahmedabad
CUST04016,Charlie Gupta,,,Mumbai
